security_id,nse_symbol,reason
SEC001622,RAJPALAYAM,NO_USABLE_SHARES
SEC001696,RRECL,NO_USABLE_SHARES
SEC001697,RRIL,NO_USABLE_SHARES
SEC001704,RTSPOWR,NO_USABLE_SHARES
SEC001718,SAB,NO_USABLE_SHARES
SEC001726,SAICAPI,NO_USABLE_SHARES
SEC001738,SAMBANDAM,NO_USABLE_SHARES
SEC001755,SAPPL,NO_USABLE_SHARES
SEC001764,SAYAJIHOTL,NO_USABLE_SHARES
SEC001765,SAYAJIIND,NO_USABLE_SHARES
SEC001786,SEIL,NO_USABLE_SHARES
SEC001788,SEKURITIND,NO_USABLE_SHARES
SEC001801,SGLRES,NO_USABLE_SHARES
SEC001803,SGRL,NO_USABLE_SHARES
SEC001817,SHBAJRG,NO_USABLE_SHARES
SEC001818,SHERVANI,NO_USABLE_SHARES
SEC001820,SHILGRAVQ,NO_USABLE_SHARES
SEC001822,SHINDL,NO_USABLE_SHARES
SEC001824,SHIVAAGRO,NO_USABLE_SHARES
SEC001825,SHIVACEM,NO_USABLE_SHARES
SEC001831,SHRADDHA,NO_USABLE_SHARES
SEC001839,SHRIKRISH,NO_USABLE_SHARES
SEC001844,SHRJAGP,NO_USABLE_SHARES
SEC001845,SHUKRAPHAR,NO_USABLE_SHARES
SEC001848,SICAGEN,NO_USABLE_SHARES
SEC001849,SIEL,NO_USABLE_SHARES
SEC001857,SIKA,NO_USABLE_SHARES
SEC001864,SIMPLXREA,NO_USABLE_SHARES
SEC001895,SONAL,NO_USABLE_SHARES
SEC001905,SPELS,NO_USABLE_SHARES
SEC001917,SRIKPRIND,NO_USABLE_SHARES
SEC001934,STLSTRINF,NO_USABLE_SHARES
SEC001948,SUMEDHA,NO_USABLE_SHARES
SEC001959,SUNLOC,NO_USABLE_SHARES
SEC001961,SUNRAKSHAK,NO_USABLE_SHARES
SEC001962,SUNSHIEL,NO_USABLE_SHARES
SEC001971,SUPTANERY,NO_USABLE_SHARES
SEC001977,SURYALA,NO_USABLE_SHARES
SEC001985,SVGLOBAL,NO_USABLE_SHARES
SEC001990,SWARNSAR,NO_USABLE_SHARES
SEC001993,SWISSMLTRY,NO_USABLE_SHARES
SEC001999,TAALTECH,NO_USABLE_SHARES
SEC002004,TANAA,NO_USABLE_SHARES
SEC002036,TECHNVISN,NO_USABLE_SHARES
SEC002042,TERAI,NO_USABLE_SHARES
SEC002050,TGVSL,NO_USABLE_SHARES
SEC002051,THAKDEV,NO_USABLE_SHARES
SEC002067,TIMEX,NO_USABLE_SHARES
SEC002087,TOYAMSL,NO_USABLE_SHARES
SEC002091,TRANSCOR,NO_USABLE_SHARES
SEC002101,TRITONV,NO_USABLE_SHARES
SEC002112,TUTIALKA,NO_USABLE_SHARES
SEC002121,UDAYJEW,NO_USABLE_SHARES
SEC002130,ULTRAMAR,NO_USABLE_SHARES
SEC002145,UPHOT,NO_USABLE_SHARES
SEC002157,VADILENT,NO_USABLE_SHARES
SEC002166,VASUPRADA,NO_USABLE_SHARES
SEC002169,VEDAVAAG,NO_USABLE_SHARES
SEC002178,VGCL,NO_USABLE_SHARES
SEC002185,VIJSOLX,NO_USABLE_SHARES
SEC002199,VIRAT,NO_USABLE_SHARES
SEC002201,VIRTUALG,NO_USABLE_SHARES
SEC002204,VISHAL,NO_USABLE_SHARES
SEC002209,VIVOBIOT,NO_USABLE_SHARES
SEC002217,VOITHPAPR,NO_USABLE_SHARES
SEC002228,VTMLTD,NO_USABLE_SHARES
SEC002236,WARDINMOBI,NO_USABLE_SHARES
SEC002237,WATERBASE,NO_USABLE_SHARES
SEC002245,WELSPLSOL,NO_USABLE_SHARES
SEC002251,WHBRADY,NO_USABLE_SHARES
SEC002262,WPIL,NO_USABLE_SHARES
SEC002269,XTRANET,NO_USABLE_SHARES
SEC002274,YOGI,NO_USABLE_SHARES
SEC002284,ZFSTEERING,NO_USABLE_SHARES
SEC002289,ZSARACOM,NO_USABLE_SHARES
