ticker,company_name,base_as_of,membership,reconstruction
NTPC,NTPC LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ONGC,OIL AND NATURAL GAS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
PAGEIND,PAGE INDUSTRIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
PETRONET,PETRONET LNG LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
PIDILITIND,PIDILITE INDUSTRIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
PIIND,P.I. INDUSTRIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
POWERGRID,POWER GRID CORPORATION OF INDIA LT,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
RELIANCE,RELIANCE INDUSTRIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
SBICARD,SBI CARDS & PAYMENT SERVICES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
SBILIFE,SBI LIFE INSURANCE COMPANY LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
SBIN,STATE BANK OF INDIA,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
SHREECEM,SHREE CEMENT LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
SHRIRAMFIN,SHRIRAM FINANCE LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
SIEMENS,SIEMENS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
SRF,SRF LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TATACONSUM,TATA CONSUMER PRODUCTS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TATAELXSI,TATA ELXSI LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TATAMOTORS,TATA MOTORS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TATAPOWER,TATA POWER LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TATASTEEL,TATA STEEL LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TCS,TATA CONSULTANCY SERVICES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TECHM,TECH MAHINDRA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TIINDIA,TUBE INVESTMENTS OF INDIA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TITAN,TITAN COMPANY LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TORNTPHARM,TORRENT PHARMACEUTICALS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TRENT,TRENT LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
TVSMOTOR,TVS MOTOR COMPANY LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ULTRACEMCO,ULTRATECH CEMENT LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
UNITDSPR,UNITED SPIRITS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
UPL,UPL LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
VBL,VARUN BEVERAGES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
VEDL,VEDANTA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
WIPRO,WIPRO LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
YESBANK,YES BANK LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ZOMATO,ZOMATO LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HDFCBANK,HDFC BANK LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
